tid,phylum.R,class.R,order.R,family.R,genus.R,species.R,keeling.R
49265,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
67004,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
83371,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Detonula,no rank,Diatoms
122233,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
159749,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
163515,Bacillariophyta,Coscinodiscophyceae,no rank,Leptocylindraceae,Leptocylindrus,no rank,Diatoms
163516,Bacillariophyta,Coscinodiscophyceae,no rank,Leptocylindraceae,Leptocylindrus,no rank,Diatoms
183588,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
186022,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,no rank,Diatoms
186038,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,no rank,Diatoms
186039,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,no rank,Diatoms
186043,Bacillariophyta,Bacillariophyceae,no rank,Entomoneidaceae,Entomoneis,no rank,Diatoms
202472,Bacillariophyta,Coscinodiscophyceae,no rank,Aulacoseiraceae,Aulacoseira,no rank,Diatoms
210454,Bacillariophyta,Fragilariophyceae,Striatellales,Grammatophoraceae,Grammatophora,no rank,Diatoms
210615,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilariopsis,no rank,Diatoms
210618,Bacillariophyta,Fragilariophyceae,Striatellales,Striatellaceae,Striatella,no rank,Diatoms
216773,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,no rank,Diatoms
216777,Bacillariophyta,Coscinodiscophyceae,no rank,Rhizosoleniaceae,Proboscia,no rank,Diatoms
216820,Bacillariophyta,Fragilariophyceae,Cyclophorales,Cyclophoraceae,Cyclophora,no rank,Diatoms
216823,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
218684,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,no rank,Diatoms
230516,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
240364,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
265536,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,no rank,Diatoms
265543,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,no rank,Diatoms
265551,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedropsis,no rank,Diatoms
265554,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,no rank,Diatoms
265564,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
265572,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Extubocellulus,no rank,Diatoms
265584,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis,no rank,Diatoms
267565,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
267566,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
267567,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
267983,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
374046,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Helicotheca,no rank,Diatoms
385413,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
420259,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
420261,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
420275,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Attheyaceae,Attheya,no rank,Diatoms
420281,Bacillariophyta,Coscinodiscophyceae,no rank,Rhizosoleniaceae,Proboscia,no rank,Diatoms
420782,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
426623,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
426625,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
476440,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
476441,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
515479,Bacillariophyta,Fragilariophyceae,no rank,Licmophoraceae,Licmophora,no rank,Diatoms
515487,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,no rank,Diatoms
637379,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira oceanica,Diatoms
671091,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,no rank,Diatoms
697910,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
913974,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,no rank,Diatoms
947934,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
1003142,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiaceae,Triceratium,no rank,Diatoms
1049557,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassiothrix,no rank,Diatoms
1118495,Bacillariophyta,Coscinodiscophyceae,no rank,Rhizosoleniaceae,Dactyliosolen,no rank,Diatoms
1158023,Bacillariophyta,Fragilariophyceae,Cyclophorales,Cyclophoraceae,Astrosyne,no rank,Diatoms
1486917,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Craspedostauros,no rank,Diatoms
35677,no rank,Pelagophyceae,Pelagomonadales,no rank,Pelagomonas,no rank,Dictyochophytes
35679,no rank,Pelagophyceae,Pelagomonadales,no rank,Pelagococcus,no rank,Dictyochophytes
35684,no rank,Dictyochophyceae,Pedinellales,no rank,Pseudopedinella,no rank,Dictyochophytes
